Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Wilson County Barbecue,4.5,$$,Barbeque,Portland,"82 Hanover St, Ste 8, Portland, ME 04101",133,43.6598352,-70.2647829
Chaba Thai,4.5,$$,"Thai, Asian Fusion",Scarborough,"700 US Rt 1, Scarborough, ME 04074",95,43.5639991760254,-70.3947830200195
Blyth & Burrows,4.5,$$,"Cocktail Bars, Tapas Bars",Portland,"26 Exchange St, Portland, ME 04101",282,43.65702,-70.25409
Solo Italiano,4.5,$$$,"Italian, Bars",Portland,"100 Commercial St, Portland, ME 04101",326,43.656681484491,-70.2509667717237
Chaval,4.5,$$$,"Spanish, French, Cocktail Bars",Portland,"58 Pine St, Portland, ME 04102",210,43.650951488628,-70.2686837718971
Empire Chinese Kitchen,4.5,$$,"Dim Sum, Cantonese",Portland,"575 Congress St, Portland, ME 04101",587,43.654899597168,-70.2625198364258
David's 388 - South Portland,4.5,$$,"American (New), Bars, Desserts",South Portland,"388 Cottage Rd, South Portland, ME 04106",132,43.635751,-70.235207
Sebago Brewing Company,3.5,$$,"American (New), Brewpubs, Burgers",Scarborough,"201 Southborough Dr, Scarborough, ME 04074",299,43.627985,-70.344158
Romeos Pizza & Sports Pub,4.0,$$,Pizza,Scarborough,"201 US Rte 1, Scarborough, ME 04074",67,43.593428,-70.329784
DiMillo's On the Water,4.0,$$$,"Seafood, Italian, American (New)",Portland,"25 Long Wharf, Portland, ME 04101",1010,43.6542111338841,-70.2506053447723
Fore Street,4.0,$$$,"American (New), Seafood",Portland,"288 Fore St, Portland, ME 04101",1208,43.65818383774291,-70.25098375201219
Tomaso's Canteen,4.5,$$,"Bars, American (Traditional)",Portland,"18 Hampshire St, Portland, ME 04101",220,43.6598770189872,-70.2514609694481
Pine Tree Seafood & Produce,5.0,$$,"Seafood Markets, Sandwiches",Scarborough,"655 US Route 1, Scarborough, ME 04074",203,43.56787,-70.391268
El Rayo Taqueria,3.5,$$,Mexican,Scarborough,"245 US Route 1, Scarborough, ME 04074",225,43.5905859535598,-70.3366632199463
The Armory Lounge,4.5,$$,"Lounges, American (New)",Portland,"20 Milk St, Portland, ME 04101",69,43.657054901123,-70.2527618408203
Izakaya Minato,4.5,$$$,Izakaya,Portland,"54 Washington Ave, Portland, ME 04101",159,43.665095,-70.252187
The Holy Donut,4.0,$$,"Donuts, Coffee & Tea",Scarborough,"398 Rt 1, Scarborough, ME 04074",353,43.583999,-70.359485
Union Restaurant,4.0,$$,"Cocktail Bars, American (New), Breakfast & Brunch",Portland,"390 Congress St, Portland, ME 04101",327,43.65904709448098,-70.25650467116392
Coals,4.5,$$,Pizza,Portland,"118 Preble St, Portland, ME 04101",70,43.6600519,-70.2633933237425
The North Point,4.5,$$,"Lounges, American (Traditional)",Portland,"35 Silver St, Portland, ME 04101",281,43.6574068778384,-70.2527466382673
Flatbread Company,4.5,$$,"Pizza, Salad, Beer Bar",Portland,"72 Commercial St, Portland, ME 04101",758,43.6573550703061,-70.2500543525629
Bird & Co,4.5,$$,Tacos,Portland,"539 Deering Ave, Portland, ME 04103",161,43.67037,-70.28425
Miyake,4.5,$$$,"Japanese, Sushi Bars",Portland,"468 Fore St, Portland, ME 04101",411,43.655549140136884,-70.25512372031483
Via Vecchia,4.0,$$,"Italian, Tapas/Small Plates, Cocktail Bars",Portland,"10 Dana St, Portland, ME 04101",219,43.655857,-70.253711
Bao Bao Dumpling House,4.0,$$,"Chinese, Bars",Portland,"133 Spring St, Portland, ME 04101",349,43.65263,-70.26295
